obsz;2012;2013;2014;2015;2016;2017
group 1;285;328;328;234;241;235
group 2;360;357;419;303;353;345
group 3;554;650;492;444;558;658
group 4;363;414;316;291;362;423
group 5;258;243;223;204;239;276
group 6;107;116;123;99;113;143
group 7;299;323;280;273;300;347
